dataset_name,upstream,field_name,field_number,field_type,terms,tags,descriptions
insecurity-insight-crsv-incidents,Date,Date,0,,#date +occurred,,
insecurity-insight-crsv-incidents,Event Description,Event Description,1,,#description,,
insecurity-insight-crsv-incidents,Country,Country,2,,#country +name,,
insecurity-insight-crsv-incidents,Country ISO,Country ISO,3,,#country_ISO,,
insecurity-insight-crsv-incidents,Admin 1,Admin 1,4,,#adm1,,
insecurity-insight-crsv-incidents,Latitude,Latitude,5,,#geo +lat,,
insecurity-insight-crsv-incidents,Longitude,Longitude,6,,#geo +lon,,
insecurity-insight-crsv-incidents,Geo Precision,Geo Precision,7,,#geo +precision,,
insecurity-insight-crsv-incidents,Location Where Sexual Violence Was Committed,Location Where Sexual Violence Was Committed,8,,#loc,,
insecurity-insight-crsv-incidents,Reported Perpetrator,Reported Perpetrator,9,,#group +perp,,
insecurity-insight-crsv-incidents,Reported Perpetrator Name,Reported Perpetrator Name,10,,#group +perp +name,,
insecurity-insight-crsv-incidents,Single And Group Perpetrators,Single And Group Perpetrators,11,,#group +size,,
insecurity-insight-crsv-incidents,Weapon Carried/Used,Weapon Carried/Used,12,,#weapons,,
insecurity-insight-crsv-incidents,Survivor or Victim,Survivor or Victim,13,,#survivor_victim,,
insecurity-insight-crsv-incidents,Survivor Or Victim Sex,Survivor Or Victim Sex,14,,#sex,,
insecurity-insight-crsv-incidents,Adult or Minor ,Adult or Minor ,15,,#adult_minor,,
insecurity-insight-crsv-incidents,Type of SV,Type of SV,16,,,,
insecurity-insight-crsv-incidents,SV Context,SV Context,17,,#CRSV_context,,
insecurity-insight-crsv-incidents,Classification,Classification,18,,,,
insecurity-insight-crsv-incidents,Number of Reported Victims,Number of Reported Victims,19,,#affected +num +crsv,,
insecurity-insight-crsv-incidents,Reported Deaths Following the Sexual Violence,Reported Deaths Following the Sexual Violence,20,,#num +crsv  + killed,,
insecurity-insight-crsv-incidents,SIND Event ID,SIND Event ID,21,,#event +id,,
insecurity-insight-education-incidents,Date,Date,0,,#date +occurred,,
insecurity-insight-education-incidents,Event Description,Event Description,1,,#description,,
insecurity-insight-education-incidents,Country,Country,2,,#country +name,,
insecurity-insight-education-incidents,Country ISO,Country ISO,3,,#country_ISO,,
insecurity-insight-education-incidents,Admin 1,Admin 1,4,,#adm1,,
insecurity-insight-education-incidents,Latitude,Latitude,5,,#geo +lat,,
insecurity-insight-education-incidents,Longitude,Longitude,6,,#geo +lon,,
insecurity-insight-education-incidents,Geo Precision,Geo Precision,7,,#geo +precision,,
insecurity-insight-education-incidents,Location of event,Location of event,8,,#loc,,
insecurity-insight-education-incidents,Reported Perpetrator,Reported Perpetrator,9,,#group +perp,,
insecurity-insight-education-incidents,Reported Perpetrator Name,Reported Perpetrator Name,10,,#group +perp +name,,
insecurity-insight-education-incidents,Weapon Carried/Used,Weapon Carried/Used,11,,#weapons,,
insecurity-insight-education-incidents,Type of education facility,Type of education facility,12,,,,
insecurity-insight-education-incidents,Attacks on Schools,Attacks on Schools,13,,#indicator +educationfacility +attack +num,,
insecurity-insight-education-incidents,Attacks on Universities,Attacks on Universities,14,,#indicator +university +attack +num,,
insecurity-insight-education-incidents,Military Occupation of Education facility,Military Occupation of Education facility,15,,#indicator +educationfacility +occupy +num,,
