ih_name,Page,Dataset type,HDX link,Page description,
insecurity-insight-aidworkerKIKA-dataset,"Aid Worker KIKA (Killed, Injured, Kidnapped or Arrested) Data",Topic,https://data.humdata.org/dataset/sind-aid-worker-kka-dataset,"This dataset contains agency- and publicly-reported data for events in which an aid worker was [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests). Categorized by country. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-healthcare-dataset,Attacks on Health Care Monthly News Brief Data,Topic,https://data.humdata.org/dataset/sind-safeguarding-healthcare-monthly-news-briefs-dataset,"This dataset contains agency- and open source events published in the [Attacks on Health Care News Brief](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief). Categorized by country. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org. For data supporting the Safeguarding Health in Conflict Coalition (SHCC), please see: https://data.humdata.org/dataset/shcchealthcare-dataset",
insecurity-insight-crsv-dataset,Conflict-Related Sexual Violence (CRSV) Data,Topic,https://data.humdata.org/dataset/conflict-related-sexual-violence,"This dataset contains publicly-reported cases of [sexual violence](https://insecurityinsight.org/projects/reporting-sexual-violence-and-abuse-in-conflict-settings) by conflict actors, security personnel, and sexual violence violence that targets aid workers, educators, health workers and IDPS/refugees. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-education-dataset,Education in Danger Data,Topic,https://data.humdata.org/dataset/sind-education-in-danger-monthly-news-briefs-dataset,This dataset contains agency- and open source events published in the [Education in Danger Monthly News Brief](https://insecurityinsight.org/projects/education-in-danger/education-in-danger-monthly-news-brief). Categorized by country. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org,Some datasets on this page are one-off specials that go with specific reports and don't need an API. 
insecurity-insight-explosive-dataset,Explosive Weapons Monitor Data by Insecurity Insight,Topic,https://data.humdata.org/dataset/explosive-weapons-use-affecting-aid-access-education-and-healthcare-services,"This dataset contains agency- and open source events in which aid access, education and healthcare services were impacted by [explosive weapons](https://insecurityinsight.org/projects/explosive-weapons). Categorized by country. Insecurity Insight collaborates with the [International Network on Explosive Weapons (INEW)](https://www.inew.org/) in producing research and analysis on the harm and use of explosive weapons for the [Explosive Weapons Monitor](https://www.explosiveweaponsmonitor.org/) by documenting their effects on health care, education, and aid access. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-protection-dataset,Protection in Danger Data,Topic,https://data.humdata.org/dataset/sind-protection-in-danger-monthly-news-briefs-dataset,This dataset contains violent agency- and open source events affecting refugee and IDP camps published in the [Protection in Danger Monthly News Brief](https://insecurityinsight.org/projects/ensuring-protection/protection-in-danger-monthly-news-brief-2). Categorized by country. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org,
insecurity-insight-afg-dataset,"Afghanistan (AFG): Attacks on Aid Operations, Education and Health Care, and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/afghanistan-violence-against-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education and health care services in [Afghanistan](https://insecurityinsight.org/country-pages/afghanistan). They also provide information on incidents of explosive weapons use affecting aid access, education and health care services. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-bgd-dataset,Bangladesh (BGD): Attacks on IDP/Refugee Camps,Country,https://data.humdata.org/dataset/bangladesh-bgd-attacks-on-protection,These datasets contain information on violent and threatening incidents affecting refugee/IDP camps in Bangladesh. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org,
insecurity-insight-bfa-dataset,"Burkina Faso (BFA): Attacks on Aid Operations, Education and Health Care",Country,https://data.humdata.org/dataset/burkina-faso-violence-against-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education and health care services in [Burkina Faso](https://insecurityinsight.org/country-pages/burkina-faso). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-caf-dataset,Central African Republic (CAF): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/car-violence-against-civilians-and-vital-civlian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in the [CAR](https://insecurityinsight.org/country-pages/central-african-republic). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
